timestamp_jst;timeframe;symbol;broker;server_gmt_offset;close;ma20;ma50;ma200;rsi14;macd_main;macd_signal;atr14;volume;d_open;d_high;d_low;d_close;w_pp;w_r1;w_s1;w_r2;w_s2;notes
2025-11-06T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.15462;1.15998;1.16715;1.13454;42.46;-0.00414;-0.0029;0.005;44212;1.15463;1.15906;1.15291;1.15637;;;;;;
2025-11-07T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.15637;1.15959;1.16687;1.13512;44.94;-0.00382;-0.00311;0.00503;43868;1.15544;1.15544;1.15544;1.15544;;;;;;
2025-11-10T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.15567;1.15956;1.16657;1.13571;44.12;-0.00358;-0.00332;0.005;40982;1.15542;1.15542;1.15497;1.15497;;;;;;
2025-11-11T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.15815;1.15932;1.16642;1.13632;47.75;-0.00315;-0.00346;0.00517;38579;1.15814;1.15814;1.15807;1.15807;;;;;;
2025-11-12T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.15922;1.159;1.16626;1.13696;49.28;-0.00269;-0.00351;0.00508;37854;1.15921;1.15921;1.15912;1.15913;;;;;;
2025-11-13T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.16318;1.15852;1.16614;1.13758;54.57;-0.00199;-0.00343;0.00555;50513;1.163;1.16301;1.163;1.16301;;;;;;
2025-11-14T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.16194;1.15843;1.16597;1.1382;52.72;-0.00151;-0.00323;0.00565;58989;1.16127;1.16134;1.16127;1.16134;;;;;;
2025-11-17T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.15908;1.15832;1.16569;1.13878;48.61;-0.00135;-0.00295;0.00564;42654;1.15907;1.15907;1.15881;1.15881;;;;;;
2025-11-18T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.158;1.15828;1.16545;1.13933;47.12;-0.00129;-0.00261;0.00527;48258;1.158;1.158;1.15727;1.15727;;;;;;
2025-11-19T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.15366;1.15813;1.16522;1.13988;41.59;-0.00158;-0.00233;0.00519;50611;1.15368;1.15368;1.1531;1.1531;;;;;;
2025-11-20T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.15271;1.15772;1.16483;1.14042;40.47;-0.00186;-0.00211;0.00514;57971;1.15271;1.15271;1.15213;1.15213;;;;;;
2025-11-21T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.15145;1.15723;1.16442;1.14098;38.97;-0.00216;-0.00195;0.00532;62121;1.15104;1.15104;1.15104;1.15104;1.15431;1.15954;1.14621;1.16764;1.14098
2025-11-24T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.15200;1.15666;1.16393;1.14148;40.01;-0.00233;-0.00186;0.00523;42560;1.15194;1.15406;1.15112;1.15341;1.15431;1.15954;1.14621;1.16764;1.14098
2025-11-25T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.15693;1.15604;1.16324;1.14201;48.51;-0.00204;-0.00179;0.00556;56178;1.15689;1.15689;1.15631;1.15669;1.15431;1.15954;1.14621;1.16764;1.14098
2025-11-26T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.15943;1.15563;1.16275;1.14256;52.21;-0.00159;-0.00175;0.00548;59374;1.15942;1.15942;1.15827;1.15827;1.15431;1.15954;1.14621;1.16764;1.14098
2025-11-27T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.15945;1.15560;1.16237;1.14311;52.24;-0.00122;-0.00172;0.00531;30093;1.15945;1.15945;1.15900;1.15900;1.15431;1.15954;1.14621;1.16764;1.14098
2025-11-28T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.15991;1.15574;1.16207;1.14366;52.96;-0.00088;-0.00166;0.00538;102969;1.15931;1.15932;1.15931;1.15932;1.15712;1.16409;1.15294;1.16827;1.14597
2025-12-01T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.16088;1.15605;1.16166;1.14426;54.52;-0.00053;-0.00158;0.00541;58858;1.16086;1.16086;1.16059;1.16066;1.15712;1.16409;1.15294;1.16827;1.14597
2025-12-02T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.16197;1.15650;1.16125;1.14488;56.27;-0.00015;-0.00142;0.00541;42728;1.16197;1.16197;1.16165;1.16165;1.15712;1.16409;1.15294;1.16827;1.14597
2025-12-03T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.16701;1.15719;1.16101;1.14545;63.32;0.00054;-0.00115;0.00529;45959;1.16698;1.16698;1.16654;1.16654;1.15712;1.16409;1.15294;1.16827;1.14597
2025-12-03T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.16701;1.15719;1.16101;1.14545;63.32;0.00054;-0.00115;0.00529;45959;1.16698;1.16734;1.16589;1.16609;1.15712;1.16409;1.15294;1.16827;1.14597
2025-12-04T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.16437;1.15808;1.16103;1.14597;58.04;0.00087;-0.00082;0.00524;46275;1.16437;1.16437;1.16424;1.16424;1.15712;1.16409;1.15294;1.16827;1.14597
2025-12-05T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.16423;1.15857;1.16091;1.14640;57.77;0.00110;-0.00043;0.00525;43404;1.16337;1.16337;1.16337;1.16337;1.16376;1.16862;1.15937;1.17301;1.15451
2025-12-08T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.16365;1.15896;1.16075;1.14683;56.57;0.00123;-0.00007;0.00539;46546;1.16359;1.16359;1.16335;1.16335;1.16376;1.16862;1.15937;1.17301;1.15451
2025-12-09T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.16258;1.15936;1.16056;1.14723;54.34;0.00123;0.00024;0.00512;43716;1.16266;1.16266;1.16239;1.16239;1.16376;1.16862;1.15937;1.17301;1.15451
2025-12-10T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.16944;1.15958;1.16035;1.14763;64.12;0.00176;0.00057;0.00534;58224;1.16939;1.16939;1.16937;1.16937;1.16376;1.16862;1.15937;1.17301;1.15451
2025-12-11T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.17370;1.16009;1.16031;1.14806;68.61;0.00250;0.00095;0.00549;49878;1.17371;1.17371;1.17363;1.17365;1.16376;1.16862;1.15937;1.17301;1.15451
2025-12-12T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.17394;1.16062;1.16030;1.14847;68.85;0.00307;0.00135;0.00536;42404;1.17357;1.17357;1.17357;1.17357;1.17054;1.17962;1.16486;1.18530;1.15578
2025-12-15T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.17518;1.16122;1.16035;1.14890;70.10;0.00357;0.00176;0.00513;41939;1.17517;1.17517;1.17461;1.17461;1.17054;1.17962;1.16486;1.18530;1.15578
2025-12-16T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.17459;1.16202;1.16054;1.14935;68.69;0.00389;0.00213;0.00524;57070;1.17458;1.17458;1.17445;1.17445;1.17054;1.17962;1.16486;1.18530;1.15578
2025-12-17T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.17392;1.16285;1.16079;1.14978;67.03;0.00403;0.00249;0.00537;50755;1.17391;1.17391;1.17366;1.17366;1.17054;1.17962;1.16486;1.18530;1.15578
2025-12-18T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.17199;1.16387;1.16114;1.15021;62.36;0.00395;0.00280;0.00536;53764;1.17207;1.17207;1.17154;1.17155;1.17054;1.17962;1.16486;1.18530;1.15578
2025-12-19T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.17087;1.16483;1.16133;1.15061;59.76;0.00374;0.00308;0.00516;43439;1.17142;1.17142;1.17142;1.17142;1.17383;1.17741;1.16728;1.18396;1.16370
2025-12-22T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.17599;1.16580;1.16160;1.15099;66.62;0.00395;0.00338;0.00536;37145;1.17601;1.17601;1.17509;1.17509;1.17383;1.17741;1.16728;1.18396;1.16370
2025-12-23T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.17938;1.16700;1.16191;1.15142;70.23;0.00434;0.00367;0.00531;42296;1.17936;1.17936;1.17831;1.17846;1.17383;1.17741;1.16728;1.18396;1.16370
2025-12-24T09:00:00+09:00;D1;EURUSD#;XMTrading;+3;1.17762;1.16812;1.16221;1.15189;66.22;0.00446;0.00389;0.00526;32576;1.17856;1.17858;1.17855;1.17857;1.17383;1.17741;1.16728;1.18396;1.16370
