timestamp_jst;timeframe;symbol;broker;server_gmt_offset;close;ma20;ma50;ma200;rsi14;macd_main;macd_signal;atr14;volume;d_open;d_high;d_low;d_close;w_pp;w_r1;w_s1;w_r2;w_s2;notes
2025-11-18T09:00:00+09:00;H4;GOLD#;XMTrading;+3;4025;4142.157;4090.8728;4063.5427;36.61;-19.45009;-4.05303;47.34714;37499;4044.8;4055.07;4022.37;4024.77;;;;;;
2025-11-18T13:00:00+09:00;H4;GOLD#;XMTrading;+3;4018.92;4133.4405;4091.732;4064.3134;35.87;-23.1563;-8.26608;45.41571;51714;4044.8;4055.07;4004.91;4019.47;;;;;;
2025-11-18T17:00:00+09:00;H4;GOLD#;XMTrading;+3;4040.22;4124.6115;4092.5298;4065.08015;40.46;-24.09698;-11.86872;47.23714;53075;4044.8;4055.07;3997.88;4040.39;;;;;;
2025-11-18T21:00:00+09:00;H4;GOLD#;XMTrading;+3;4065.19;4117.008;4093.8022;4066.00095;45.4;-22.56747;-14.78703;48.21214;52333;4044.8;4070.2;3997.88;4065.22;;;;;;
2025-11-19T01:00:00+09:00;H4;GOLD#;XMTrading;+3;4071.45;4109.668;4095.3536;4067.00595;46.59;-20.61258;-16.78857;48.69357;84170;4044.8;4081.81;3997.88;4071.5;;;;;;
2025-11-19T05:00:00+09:00;H4;GOLD#;XMTrading;+3;4067.5;4101.5805;4096.5616;4067.9906;45.91;-19.16117;-18.29516;40.78286;46952;4068.44;4068.44;4067.74;4067.81;;;;;;
2025-11-19T09:00:00+09:00;H4;GOLD#;XMTrading;+3;4059.06;4093.372;4097.6674;4068.9058;44.41;-18.47894;-19.32298;36.71571;27083;4068.44;4078.5;4056.36;4059.08;;;;;;
2025-11-19T13:00:00+09:00;H4;GOLD#;XMTrading;+3;4095.5;4086.236;4099.1238;4069.9769;51.74;-14.82695;-19.71181;37.70643;47615;4068.44;4097.4;4055.42;4095.12;;;;;;
2025-11-19T17:00:00+09:00;H4;GOLD#;XMTrading;+3;4113.28;4082.4395;4101.4916;4071.17195;54.86;-10.37839;-19.1921;38.01714;44525;4068.44;4116.28;4055.42;4113.5;;;;;;
2025-11-19T21:00:00+09:00;H4;GOLD#;XMTrading;+3;4110.63;4078.608;4103.7226;4072.45395;54.3;-6.98617;-17.80722;36.23429;48266;4068.44;4119.87;4055.42;4111.24;;;;;;
2025-11-20T01:00:00+09:00;H4;GOLD#;XMTrading;+3;4078.82;4074.6435;4106.0354;4073.78715;47.93;-6.78639;-15.98834;38.81143;94122;4068.44;4132.84;4055.42;4079.39;;;;;;
2025-11-20T05:00:00+09:00;H4;GOLD#;XMTrading;+3;4077.87;4070.114;4107.4788;4074.8571;47.75;-6.62831;-14.04738;38.38571;60087;4079.08;4080.3;4078.92;4080.28;;;;;;
2025-11-20T09:00:00+09:00;H4;GOLD#;XMTrading;+3;4081.46;4071.2145;4109.0816;4075.8773;48.53;-6.14254;-12.22238;38.56714;36232;4079.08;4110.13;4078.92;4081.23;;;;;;
2025-11-20T13:00:00+09:00;H4;GOLD#;XMTrading;+3;4066.64;4070.293;4110.602;4076.8663;45.48;-6.87417;-10.69589;36.77571;54942;4079.08;4110.13;4041.38;4066.4;;;;;;
2025-11-20T17:00:00+09:00;H4;GOLD#;XMTrading;+3;4064.15;4069.38;4111.9086;4077.7651;44.97;-7.56768;-9.40773;37.22286;59193;4079.08;4110.13;4038.79;4064.53;;;;;;
2025-11-20T21:00:00+09:00;H4;GOLD#;XMTrading;+3;4080.34;4068.025;4112.3116;4078.5843;48.99;-6.73328;-8.10265;38.23357;58429;4079.08;4110.13;4038.79;4080.15;;;;;;
2025-11-21T01:00:00+09:00;H4;GOLD#;XMTrading;+3;4066;4069.126;4112.5292;4079.2927;45.8;-7.14674;-7.2493;39.23786;106866;4079.08;4110.13;4038.79;4066.38;;;;;;
2025-11-21T05:00:00+09:00;H4;GOLD#;XMTrading;+3;4077.27;4068.319;4112.3174;4079.9105;48.63;-6.49021;-6.81728;38.515;59854;4076.1;4076.69;4075.41;4075.46;;;;;;
2025-11-21T09:00:00+09:00;H4;GOLD#;XMTrading;+3;4068.53;4068.914;4112.0306;4080.6261;46.6;-6.59907;-6.77427;37.57857;34345;4076.1;4088.64;4060.44;4068.42;;;;;;
2025-11-21T13:00:00+09:00;H4;GOLD#;XMTrading;+3;4058.5;4068.6725;4111.3496;4081.19865;44.31;-7.40928;-6.84348;39.09571;59106;4076.1;4088.64;4039.65;4058.54;;;;;;
2025-11-21T17:00:00+09:00;H4;GOLD#;XMTrading;+3;4050.54;4069.3165;4110.202;4081.6864;42.53;-8.5946;-7.06195;40.54429;68429;4076.1;4088.64;4022.38;4050.17;;;;;;
2025-11-21T21:00:00+09:00;H4;GOLD#;XMTrading;+3;4079.63;4070.5935;4108.487;4082.1257;50.39;-7.10476;-7.16887;41.12286;75075;4076.1;4088.64;4022.38;4080.07;;;;;;
2025-11-22T01:00:00+09:00;H4;GOLD#;XMTrading;+3;4085.61;4073.629;4107.4594;4082.64425;51.85;-5.37951;-7.00279;41.695;93234;4076.1;4101.11;4022.38;4085.83;;;;;;
2025-11-22T05:00:00+09:00;H4;GOLD#;XMTrading;+3;4065.94000;4075.89850;4106.33560;4083.31580;46.96;-5.53562;-6.77701;43.01500;56754;4071.83000;4071.83000;4068.03000;4070.46000;;;;;
2025-11-24T09:00:00+09:00;H4;GOLD#;XMTrading;+3;4044.21000;4075.93600;4104.80260;4083.74850;42.22;-7.32830;-6.84312;39.99214;34406;4071.83000;4077.64000;4042.69000;4043.65000;;;;;
2025-11-25T05:00:00+09:00;H4;GOLD#;XMTrading;+3;4134.68000;4072.25100;4099.42780;4085.33160;62.91;2.02888;-5.33781;37.88571;43110;4133.66000;4133.66000;4133.66000;4133.66000;;;;;
2025-11-25T17:00:00+09:00;H4;GOLD#;XMTrading;+3;4128.38000;4079.90250;4097.39600;4086.74240;59.06;12.19607;-0.11566;35.39643;55783;4133.66000;4155.93000;4109.57000;4131.45000;;;;;
2025-11-26T05:00:00+09:00;H4;GOLD#;XMTrading;+3;4130.67000;4090.39450;4093.08820;4088.35285;57.57;16.56045;7.77615;33.50643;40405;4132.26000;4132.82000;4131.47000;4132.82000;;;;;
2025-11-27T05:00:00+09:00;H4;GOLD#;XMTrading;+3;4163.84000;4116.56250;4088.49660;4093.23590;62.25;21.89034;18.96267;29.70000;34254;4165.08000;4165.20000;4165.08000;4165.20000;;;;;
2025-11-28T05:00:00+09:00;H4;GOLD#;XMTrading;+3;4157.88000;4143.69800;4097.77740;4097.13080;58.86;16.73378;19.58697;20.80286;5286;4157.77000;4158.56000;4157.54000;4158.56000;;;;;
